Id,repo,issue_id,type,actor,event,created_at,link_url,link_type,link_repo,link_issue_id
6584,request/request,556,1,,cross-referenced,2014-05-16 06:21:01,https://api.github.com/repos/request/request/issues/548,0,request/request,548
6585,request/request,556,1,,cross-referenced,2016-03-07 20:02:39,https://api.github.com/repos/request/request/issues/2118,0,request/request,2118
6582,request/request,565,0,,cross-referenced,2014-03-27 19:15:37,https://api.github.com/repos/request/request/issues/848,0,request/request,848
6580,request/request,566,0,,cross-referenced,2013-06-04 14:22:04,https://api.github.com/repos/request/request/issues/567,1,request/request,567
6581,request/request,566,0,,cross-referenced,2013-06-04 19:20:59,https://api.github.com/repos/request/request/issues/568,1,request/request,568
6579,request/request,571,0,,cross-referenced,2013-07-05 10:06:25,https://api.github.com/repos/request/request/issues/587,1,request/request,587
6578,request/request,572,0,,cross-referenced,2013-06-28 11:34:26,https://api.github.com/repos/request/request/issues/581,1,request/request,581
6577,request/request,573,0,,cross-referenced,2015-05-27 17:22:21,https://api.github.com/repos/request/request/issues/1576,0,request/request,1576
6575,request/request,575,0,,cross-referenced,2013-06-21 19:31:17,https://api.github.com/repos/request/request/issues/576,1,request/request,576
6576,request/request,575,0,,cross-referenced,2013-07-19 09:25:08,https://api.github.com/repos/request/request/issues/594,1,request/request,594
6571,request/request,578,0,,cross-referenced,2013-07-17 22:50:49,https://api.github.com/repos/request/request/issues/449,0,request/request,449
6572,request/request,578,0,,cross-referenced,2014-11-25 19:37:59,https://api.github.com/repos/request/request/issues/1287,1,request/request,1287
6573,request/request,578,0,,cross-referenced,2014-12-13 13:07:16,https://api.github.com/repos/request/request/issues/1315,1,request/request,1315
6570,request/request,585,0,,cross-referenced,2016-01-22 00:52:09,https://api.github.com/repos/request/request/issues/2028,1,request/request,2028
6568,request/request,587,1,,cross-referenced,2013-12-13 09:27:29,https://api.github.com/repos/request/request/issues/571,0,request/request,571
6566,request/request,588,0,,cross-referenced,2014-03-27 19:15:37,https://api.github.com/repos/request/request/issues/848,0,request/request,848
6564,request/request,590,0,,cross-referenced,2014-08-21 14:29:26,https://api.github.com/repos/request/request/issues/1013,0,request/request,1013
6563,request/request,593,0,,cross-referenced,2014-02-12 08:33:26,https://api.github.com/repos/request/request/issues/808,0,request/request,808
6552,request/request,606,0,,cross-referenced,2013-10-02 23:00:10,https://api.github.com/repos/request/request/issues/440,0,request/request,440
6554,request/request,606,0,,cross-referenced,2016-09-13 16:59:13,https://api.github.com/repos/request/request/issues/2374,0,request/request,2374
6551,request/request,607,0,,cross-referenced,2014-05-13 19:02:07,https://api.github.com/repos/request/request/issues/890,1,request/request,890
6550,request/request,609,1,,cross-referenced,2013-11-08 15:41:40,https://api.github.com/repos/request/request/issues/701,0,request/request,701
6548,request/request,611,0,,cross-referenced,2015-12-23 17:34:59,https://api.github.com/repos/request/request/issues/1980,1,request/request,1980
6547,request/request,612,1,,cross-referenced,2014-08-08 02:01:11,https://api.github.com/repos/request/request/issues/996,1,request/request,996
6545,request/request,613,1,,cross-referenced,2013-08-01 17:48:26,https://api.github.com/repos/request/request/issues/583,0,request/request,583
6544,request/request,617,0,,cross-referenced,2014-03-27 19:15:37,https://api.github.com/repos/request/request/issues/848,0,request/request,848
6542,request/request,620,0,,cross-referenced,2014-09-24 05:39:17,https://api.github.com/repos/request/request/issues/853,0,request/request,853
6543,request/request,620,0,,cross-referenced,2014-09-25 12:13:50,https://api.github.com/repos/request/request/issues/1096,1,request/request,1096
6539,request/request,622,0,,cross-referenced,2013-08-12 11:26:11,https://api.github.com/repos/request/request/issues/623,1,request/request,623
6540,request/request,622,0,,cross-referenced,2016-01-22 00:52:09,https://api.github.com/repos/request/request/issues/2028,1,request/request,2028
6538,request/request,623,1,,cross-referenced,2013-08-12 11:27:07,https://api.github.com/repos/request/request/issues/622,0,request/request,622
6534,request/request,636,0,,cross-referenced,2015-07-03 14:15:08,https://api.github.com/repos/request/request/issues/1666,0,request/request,1666
6529,request/request,644,0,,cross-referenced,2014-03-24 15:51:45,https://api.github.com/repos/request/request/issues/847,1,request/request,847
